tag_id,title,meta_robots,meta_description,meta_keywords,meta_title,identifier,page_layout,is_active,content,layout_update_xml,custom_theme,custom_layout,custom_layout_update_xml,custom_theme_from,custom_theme_to
1,fashion,,,,,fashion,,1,,,,,,,
2,"luxury fashion",,,,,luxury-fashion,,1,,,,,,,
3,shoes,,,,,shoes,,1,,,,,,,
4,pink,,,,,pink,,1,,,,,,,
5,bags,,,,,bags,,1,,,,,,,
6,technology,,,,,technology-2,,1,,,,,,,
7,mobile,,,,,mobile,,1,,,,,,,
8,decor,,,,,decor,,1,,,,,,,
9,design,,,,,design,,1,,,,,,,
10,home,,,,,home,,1,,,,,,,
11,"home ideas",,,,,home-ideas,,1,,,,,,,
12,"home design",,,,,home-design,,1,,,,,,,
13,"men's fashion",,,,,men-s-fashion-2,,1,,,,,,,
14,"outfit idea",,,,,outfit-idea,,1,,,,,,,
15,"smart casual",,,,,smart-casual,,1,,,,,,,
16,streetstyle,,,,,streetstyle,,1,,,,,,,
17,sneakers,,,,,sneakers,,1,,,,,,,
18,sports,,,,,sports,,1,,,,,,,
19,camera,,,,,camera,,1,,,,,,,
20,canon,,,,,canon,,1,,,,,,,
21,"valentine's day gift ideas",,,,,valentine-s-day-gift-ideas,,1,,,,,,,
22,"food and health",,,,,food-and-health,,1,,,,,,,
23,"food and the environment",,,,,food-and-the-environment,,1,,,,,,,
24,vegetable,,,,,vegetable,,1,,,,,,,
25,"future of food",,,,,future-of-food,,1,,,,,,,
26,kids,,,,,kids-2,,1,,,,,,,
