"Flurrybox %1 extension is outdated. Its strongly advised that you upgrade it to latest version to receive updates and avoid any issues. <a href=""%2"">Manage Flurrybox Components</a>.","Flurrybox %1 extension is outdated. Its strongly advised that you upgrade it to latest version to receive updates and avoid any issues. <a href=""%2"">Manage Flurrybox Components</a>."
"Up to date","Up to date"
Outdated,Outdated
"No extensions are currently installed!","No extensions are currently installed!"
"Visit store page","Visit store page"
"Usage guide","Usage guide"
"Current version","Current version"
"Latest version","Latest version"
General,General
Flurrybox,Flurrybox
Components,Components
"Installed Flurrybox Components","Installed Flurrybox Components"
